Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
Fritz	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28209	901	900	0	901	0	0	0	0	000104316E3103850000	901,German		
TVEi	DigiKabel E	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53508	681	263	681	682	0	683	0	0	F0012711D10402A90000	682,Spanish		
Eurosport News	DigiKabel E	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53411	741	266	741	742	0	0	0	0	F0012714D0A302E50000	742,Spanish		
13 TH STREET	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	42	2303	107	2303	2304	0	0	0	0	00850011002A08FF0000	2304,German		
ALTERNATIVE ROCK	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	154	544	114	0	544	0	0	0	0	00850002009A02200000	544,German		
SCHLAGER	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	162	384	120	0	384	0	0	0	0	0085000200A201800000	384,German		
PREMIERE SPORT 2	PREMIERE	2	DVB-C	378012	2	6900000	0	2	1	1	4	65535	133	27	3839	100	3839	3840	0	0	0	0	00850004001B0EFF0000	3840,German		
* Program #212 *	* TS #FFFF *	2	DVB-C	386012	2	6900000	0	2	1	1	65535	65535	212	212	511	110	511	512	515	0	0	0	00D4FFFF00D401FF0000	512,German\513,German	515,	
KiKa	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28008	310	300	310	320	0	330	0	0	000104376D6801360000	320,German\320,German		
LigTV	DigiKabel TR	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53510	1175	264	1175	1176	0	0	0	0	F0010070D10604970000	1176,Turkish		
Rai 1	DigiKabel I	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53505	1141	259	1141	1142	0	1143	0	0	F0010070D10104750000	1142,Italian		
B5 aktuell	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28121	3101	3100	0	3101	0	0	0	0	0001044D6DD90C1D0000	3101,German		
RBB Berlin	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28206	601	600	601	602	0	604	0	0	000104316E2E02590000	602,German		
WDR 3	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28215	1501	1500	0	1501	0	0	0	0	000104316E3705DD0000	1501,German		
